tweet,klasifikasi
"Semoga keadaan bumi ini lekas membaik 

#COVID19 #COVID19indonesia",positive
"Usai istri rapid swab antigen pada Senin dan hasil nya positif, Rabu kemarin aku dan anak-anak juga rapid swab antigen hasilnya semua anak-anak positif. Hanya aku yang negatif. Anak-anak menyusul isolasi mandiri di lantai 2. 

#COVID19indonesia #COVID19",positive
"Semenjak pernah terpapar covid-19 saya jadi berhenti merokok dan saya mulai menabung dan uangnya saya gunakan untuk keperluan swabb antigen dll.
Keren bukan :)

#COVID19 #StaySafe #COVID19indonesia",positive
"Pesan layanan masyarakat:

1. Ivermectin bukan obat untuk mengobati atau mencegah Covid-19
2. Vitamin C 1000 mg tidak untuk diminum setiap hari tanpa indikasi, apalagi setiap 3 jam
3. Obat antivirus HARUS digunakan dengan resep dokter

#COVID19indonesia #COVID19",neutral
"Asli kesel banget, seakan akan covid itu aib.

Komplek gue sebenernya banyak lho yg positif cuman mereka diem-diem aja bahkan ada aja yg masih keluyuran padahal dah jelas jelas positif

#COVID19indonesia #coronavirus #Corona #covid19",positive
"Covid 19, ya sekarang kami sekeluarga sedang berjuang untuk perang, kalo melawan ya sendiri, ini mah sekeluarga jadi perang dah #COVID19 #Covid_19 #COVID19indonesia",neutral
"Ledakan kasus COVID-19 pada klaster permukiman pascalibur Lebaran Idulfitri 2021 jadi sorotan 659 portal media online nasional dan lokal.

#IndonesiaIndicator #Covid19 #COVID19indonesia",neutral
"pemerintah giat melakukan Program vaksin untuk masyarakat. Dimasyarakat berkembang opini Vaksin bisa membunuh orang
#savecovid #COVID19 #COVID19indonesia",negative
"Asli pasien rame bgt membludak..KU pd jelek semua,
Pada sesak..
sekelas klinik dikampung aja serame ini. Apalgi drumah sakit ya.. 
Tolong patuhi prokes. Masker double.. dan 5m ttp dijalankan..
#COVID19indonesia #COVID19 #savenakes #Bogor",positive
"Liat status di sosmed hampir setiap hari isinya kabar duka,
setiap harinya ada aja yg wafat...
dari orang yg kenal sampe gak kenal, bahkan karena corona atau bukan...
kayaknya kematian sangat dekat banget kayak tinggal tunggu giliran aja gitu...
 #COVID19indonesia #COVID19",negative
"sekelebat prediksi lagi. 
* MEDIA beritakan CORONA PANIKNY luarrbiasaaaa, AL-QURAN beritakan PEDIHNYA NERAKA, manusia CUEKNYA luarrrrbiasaa"" . 
. 
. 
. 
. 
#COVID19 #COVID19indonesia #indonesia #islam",neutral
"Semoga keadaan bumi ini lekas membaik 

#COVID19 #COVID19indonesia",positive
"Usai istri rapid swab antigen pada Senin dan hasil nya positif, Rabu kemarin aku dan anak-anak juga rapid swab antigen hasilnya semua anak-anak positif. Hanya aku yang negatif. Anak-anak menyusul isolasi mandiri di lantai 2. 

#COVID19indonesia #COVID19",positive
"Semenjak pernah terpapar covid-19 saya jadi berhenti merokok dan saya mulai menabung dan uangnya saya gunakan untuk keperluan swabb antigen dll.
Keren bukan :)

#COVID19 #StaySafe #COVID19indonesia",positive
"Pesan layanan masyarakat:

1. Ivermectin bukan obat untuk mengobati atau mencegah Covid-19
2. Vitamin C 1000 mg tidak untuk diminum setiap hari tanpa indikasi, apalagi setiap 3 jam
3. Obat antivirus HARUS digunakan dengan resep dokter

#COVID19indonesia #COVID19",neutral
"Asli kesel banget, seakan akan covid itu aib.

Komplek gue sebenernya banyak lho yg positif cuman mereka diem-diem aja bahkan ada aja yg masih keluyuran padahal dah jelas jelas positif

#COVID19indonesia #coronavirus #Corona #covid19",positive
"Covid 19, ya sekarang kami sekeluarga sedang berjuang untuk perang, kalo melawan ya sendiri, ini mah sekeluarga jadi perang dah #COVID19 #Covid_19 #COVID19indonesia",neutral
"Ledakan kasus COVID-19 pada klaster permukiman pascalibur Lebaran Idulfitri 2021 jadi sorotan 659 portal media online nasional dan lokal.

#IndonesiaIndicator #Covid19 #COVID19indonesia",neutral
"pemerintah giat melakukan Program vaksin untuk masyarakat. Dimasyarakat berkembang opini Vaksin bisa membunuh orang
#savecovid #COVID19 #COVID19indonesia",negative
"Asli pasien rame bgt membludak..KU pd jelek semua,
Pada sesak..
sekelas klinik dikampung aja serame ini. Apalgi drumah sakit ya.. 
Tolong patuhi prokes. Masker double.. dan 5m ttp dijalankan..
#COVID19indonesia #COVID19 #savenakes #Bogor",positive
"Siapa yg harus tanggung jawab dgn pandemi C19 di Indonesia? Elu yg dulu nganggap remeh, terus lu bebasin orang2 berpenyakit dari negara lain masuk!
#COVID19 #COVID19indonesia #km50apakabar",negative
"Once upon a time, my bestfriend, a doctor, said ""Merasa uda antigen sering2 jadi lo kira lo aman?! Lo mencegah kehamilan bukan dengan sering2 test pack kan? Tapi pake KB"" I replied to this ""Bravo, well said doc"" 
#COVID19 #COVID19indonesia #Vaksin",positive
"Penyaluran insentif nakes melalui BRI banyak terkendala 
@BudiGSadikin
 tolong di awasi pelaksanaannya pak... supaya janji dan apresiasi Bapak Presiden 
@jokowi
 untuk Nakes bisa sampai dengan baik... 

#insentifnakes
#covid19
#COVID19indonesia 
#kawalcovid",positive
"Kalo anda tidak percaya adanya covid tidak masalah, 
Tapi hormati orang yg percaya akan adanya covid .. 
Jang sok hebat dan menghina orang yg percaya adanya covid .. 
#yahbegitulah #COVID19 #COVID19indonesia",negative
"Kalo ngomongin Covid jangan keras keras, yg nyerang bukan pirusnya, tapi beliaunya

#COVID19 #COVID19indonesia #Covid",negative
"PPKM lagi yah ? Kalo kata pak warung madura “ ah biasa itu “ , itu bukan bukti negara ini menangani covid-19 !! #covid19indonesia #COVID19",negative
"2 March 2020 #COVID19 Indonesia 
Satu Tahun Pandemi #COVID19 Indonesia Ingat selalu ketatkan protokol kesehatan selalu gunakan masker dan selalu cuci tangan,hindari keramaian selalu jaga jarak dan selalu jaga kesehatan kalian semua #COVID19Indonesia",neutral
Apa hasil #ppkm atau #psbb selama ini? Koq bisa rekor baru malah terukir di tengah penggiatan PPKM? #inisihmakinparah #COVID19 #COVID19indonesia,positive
"sebenernya garda terdepan saat ini itu diri sendiri atau tenakes? 1jt+ bukan angka receh brouuu:""""
#COVID19 
#COVID19indonesia",neutral
"OTG kita sekarang sudah tidak terkendali. Bisa2 mereka sudah ada di rumah2 kita

#COVID19 
#COVID19indonesia 
#1jtkasuscovid19",neutral
"COVID-19 INDONESIA TERBARU
Update: 2021-01-20 15:52:06

Total:
Positif: 939948, Dirawat: 149388, Sembuh: 763703, Meninggal: 26857
Penambahan:
Positif: +12568, Dirawat: +2546, Sembuh: +9755, Meninggal: +267

#COVID19 #Covid19Indonesia #pakaimasker #cucitangan #JagaJarak #ReeZh",positive
YA ATAU TIDAK RAGU UNTUK DI VAKSIN COVID 19??? #vaksincovid19  #COVID19indonesia #COVID19,neutral
"Ayo, kita sukseskan vaksinasi COVID-19 untuk mencegah penularan dan demi kebaikan bersama! :)

#covid19 #covid19indonesia #ugm #fkkmkugm #centerfortropicalmedicine #tropicalmedicine #publichealth #kesehatanmasyarakat",positive
"Terima kasih atas jasa dan perjuangan yang tak terlupa. Untuk kita, jangan dulu lengah, dan mari tetap #salingjaga.

#covid19 #covid19indonesia #tenagakesehatan #nakes #ugm #fkkmkugm #centerfortropicalmedicine #tropicalmedicine #publichealth #kesehatanmasyarakat",neutral
"Pencegahan Gangguan mental :
1. Olahraga
2. Memiliki pikiran yang positif
3. Mengatasi masalah dengan baik & tenang
4. Menjaga hubungan dengan orang lain
5. Istirahat dengan cukup

Selalu menjaga kesehatan

#2021makeawish
#immunity 
#imunitastubuh
#covid19
#covid19indonesia",positive
Waaaah sebentar lage COVID-19 ultah neeee .                                                       #COVID19 #COVIDー19 #COVID19indonesia  #coronavirus #Coronavirusindonesia,neutral
"praktek buru rente sampai detik ini terus lancar jaya, berkembang kemana2 nyundul langit. Dan sekarang  sampai titik ujinya paling besar : borong vaksin untuk diinjeksi massal. #covid19 #covid19indonesia",positive
"UPDATE Virus Corona di Indonesia Sabtu (12/12/2020): Tambah 6.388, Total 611.631 Kasus Positif 
Ini dia nihh br yg namanya prestasi pemerintah.. cucok meong'kan hahaha  #Covid19 #pandemikIndonesia #covid19Indonesia",positive
"2 March 2020 #COVID19 Indonesia 
Satu Tahun Pandemi #COVID19 Indonesia Ingat selalu ketatkan protokol kesehatan selalu gunakan masker dan selalu cuci tangan,hindari keramaian selalu jaga jarak dan selalu jaga kesehatan kalian semua #COVID19Indonesia",neutral
Apa hasil #ppkm atau #psbb selama ini? Koq bisa rekor baru malah terukir di tengah penggiatan PPKM? #inisihmakinparah #COVID19 #COVID19indonesia,positive
"sebenernya garda terdepan saat ini itu diri sendiri atau tenakes? 1jt+ bukan angka receh brouuu:""""
#COVID19 
#COVID19indonesia",neutral
"OTG kita sekarang sudah tidak terkendali. Bisa2 mereka sudah ada di rumah2 kita

#COVID19 
#COVID19indonesia 
#1jtkasuscovid19",neutral
"COVID-19 INDONESIA TERBARU
Update: 2021-01-20 15:52:06

Total:
Positif: 939948, Dirawat: 149388, Sembuh: 763703, Meninggal: 26857
Penambahan:
Positif: +12568, Dirawat: +2546, Sembuh: +9755, Meninggal: +267

#COVID19 #Covid19Indonesia #pakaimasker #cucitangan #JagaJarak #ReeZh",positive
YA ATAU TIDAK RAGU UNTUK DI VAKSIN COVID 19??? #vaksincovid19  #COVID19indonesia #COVID19,neutral
"Ayo, kita sukseskan vaksinasi COVID-19 untuk mencegah penularan dan demi kebaikan bersama! :)

#covid19 #covid19indonesia #ugm #fkkmkugm #centerfortropicalmedicine #tropicalmedicine #publichealth #kesehatanmasyarakat",positive
"Terima kasih atas jasa dan perjuangan yang tak terlupa. Untuk kita, jangan dulu lengah, dan mari tetap #salingjaga.

#covid19 #covid19indonesia #tenagakesehatan #nakes #ugm #fkkmkugm #centerfortropicalmedicine #tropicalmedicine #publichealth #kesehatanmasyarakat",neutral
"Pencegahan Gangguan mental :
1. Olahraga
2. Memiliki pikiran yang positif
3. Mengatasi masalah dengan baik & tenang
4. Menjaga hubungan dengan orang lain
5. Istirahat dengan cukup

Selalu menjaga kesehatan

#2021makeawish
#immunity 
#imunitastubuh
#covid19
#covid19indonesia",positive
Waaaah sebentar lage COVID-19 ultah neeee .                                                       #COVID19 #COVIDー19 #COVID19indonesia  #coronavirus #Coronavirusindonesia,neutral
"praktek buru rente sampai detik ini terus lancar jaya, berkembang kemana2 nyundul langit. Dan sekarang  sampai titik ujinya paling besar : borong vaksin untuk diinjeksi massal. #covid19 #covid19indonesia",positive
"UPDATE Virus Corona di Indonesia Sabtu (12/12/2020): Tambah 6.388, Total 611.631 Kasus Positif 
Ini dia nihh br yg namanya prestasi pemerintah.. cucok meong'kan hahaha  #Covid19 #pandemikIndonesia #covid19Indonesia",positive
"Stay at home aja 9 desember biar gx ada cluster baru lagi....
#dirumahaja
#COVID19 
#COVID19indonesia",positive
"Di daerahmu berapa yang mati hari ini karena covid19??
Kok diaerahku cuma ada berita pilkada. 
#COVID19
#Covid_19
#COVID19indonesia",positive
"OTG setelah isolasi mandiri 14 hari tidak perlu di swab lagi? Adakah yang bisa menjelaskan?Bukankah sebelumnya banyak pasien #covid19 tes swab setelah 14 hari masih positif?

#Covid19 #Indonesia #COVID19indonesia #PCRTestPandemic",positive
"Kasus masih meningkat, kalo pemerintahnya masih aja ngelawak ya tenaga medisnya yang jebol #covid19indonesia #covid19 #lawancorona #lawancovid19",neutral
"PILKADA DI TENGAH PANDEMI???
Menurut kalian???
#Pilkada2020 #pilkadaataupembunuhan #pilkadabencanaserentak #pilkadavsnyawarakyat #COVID19 #COVID19indonesia #COVIDIOTS",neutral
"Suasana Pandemi seperti ini banyak perubahan yang kita alami tentunya perubahan yang tidak mengenakan. Tetap semangat, terus berdoa agar badai ini cpt berlalu. #COVID19 #COVID19indonesia",positive
"""mengundang"" kasus covid

#OmnibusLawSampah
#DPRRIKhianatiRakyat
#dprpenghianat
#COVID19 #COVID19indonesia",neutral
"Buat semua orang Indonesia yang masih mikir kalo Covid-19 itu hoax atau make masker itu lebay: TRUMP AJA BISA KENA! TRUMP LHO! YANG SETIAP 3 HARI DITEST! APALAGI ELU, MALIH! STOP BEING STUPID! PAKE MASKER YANG BENER! #COVID19 #indonesia #COVID19indonesia",negative
"Dari data yg terhimpun 
@SatgasCovid19
 apakah korban #COVID19indonesia ada yg memiliki riwayat gila/gangguan jiwa ndak? Kalo belum ada berarti mereka memiliki vaksin #COVID19 sendiri.",negative
"Si covid-19 dari yg awalnya jauh di luar sana, sampe akhirnya dalam enam bulan ini banyak ring satu saya yg kena. Bahkan org yg taat protokol kesehatanpun mulai terpapar. Semoga semuanya selalu sehat dan pandemi ini segera berakhir #COVID19 #COVID19indonesia",positive
"Semoga #pandemic #pandemi ini cepat berakhir  Aamiin.
#COVID19indonesia 
#COVID19",positive
"Lagi cuci tangan dengan narasi ""sejak awal Pemerintah konsisten bahwa Kesehatan prioritas utama"" 

Klimaksnya nanti ditutup dengan ngluarkan Perppu bahwa #Pilkada2020 ditunda

Lengkap sudah cuci tangan dan bersih-bersih

#LaguLama #COVID19indonesia #COVID19",positive
UMR Temanggung cukup buat satu kali tes swab. Abis tes swab ga makan sebulan terus sakit dan meninggal. Ga kebayang kalo disuruh wajib tes swab pake biaya sendiri #COVID19  #COVID19indonesia,negative
"Pengennya tuh bs nerbangin drone. Bantu2 petugas, klo nemuin kerumunan & ga pakai masker lngsung terbangin drone sambil nyemprotin air got. Jd petugas ga capek2 ngurusin warga yg bandel



#COVID19 #COVID19indonesia",negative
"Kalau yang memiliki power udah mengendalikan sistem, nahh yg dikendalikan bisa apa??

Apa Indonesia itu sudah bukan lagi negara republik yg bermusyawarah?
#COVID19 #COVID19indonesia 
#anticovid",neutral
"Hari ini, Rabu/ 23 September 2020, Penambahan kasus baru #COVID19indonesia mencapai 4.465 Kasus, #SayaSedangMembayangkanJikaPilkadaBerlangsung 14 hari kemudian jadi apa ya ? #iItuJikaVaksinBelumDiTemukan 
.
#COVID__19 
#COVID19 
#Covid_19",positive
"KEBIJAKAN SEKOLAH DI ZONA MERAH COVID 19

#COVID__19 #COVID19 #COVID19indonesia #sekolah #Jokowi #Coronavirusindonesia #ikatandokterindonesia #IDI #WHO",neutral
"Terjadi momok menakutkan di kalangan masyarakat untuk berobat, sehingga terjadi nya korban karena tidak ada nya rasa nyaman ketika berobat karena banyak hal yang di gaungkan di kalangan masyarakat untuk menjadi hal yg menakutkan
#COVID19 #COVID19indonesia",negative
"Buat semua orang Indonesia yang masih mikir kalo Covid-19 itu hoax atau make masker itu lebay: TRUMP AJA BISA KENA! TRUMP LHO! YANG SETIAP 3 HARI DITEST! APALAGI ELU, MALIH! STOP BEING STUPID! PAKE MASKER YANG BENER! #COVID19 #indonesia #COVID19indonesia",negative
"Dari data yg terhimpun 
@SatgasCovid19
 apakah korban #COVID19indonesia ada yg memiliki riwayat gila/gangguan jiwa ndak? Kalo belum ada berarti mereka memiliki vaksin #COVID19 sendiri.",negative
"Si covid-19 dari yg awalnya jauh di luar sana, sampe akhirnya dalam enam bulan ini banyak ring satu saya yg kena. Bahkan org yg taat protokol kesehatanpun mulai terpapar. Semoga semuanya selalu sehat dan pandemi ini segera berakhir #COVID19 #COVID19indonesia",positive
"Semoga #pandemic #pandemi ini cepat berakhir  Aamiin.
#COVID19indonesia 
#COVID19",positive
"Lagi cuci tangan dengan narasi ""sejak awal Pemerintah konsisten bahwa Kesehatan prioritas utama"" 

Klimaksnya nanti ditutup dengan ngluarkan Perppu bahwa #Pilkada2020 ditunda

Lengkap sudah cuci tangan dan bersih-bersih

#LaguLama #COVID19indonesia #COVID19",positive
UMR Temanggung cukup buat satu kali tes swab. Abis tes swab ga makan sebulan terus sakit dan meninggal. Ga kebayang kalo disuruh wajib tes swab pake biaya sendiri #COVID19  #COVID19indonesia,negative
"Pengennya tuh bs nerbangin drone. Bantu2 petugas, klo nemuin kerumunan & ga pakai masker lngsung terbangin drone sambil nyemprotin air got. Jd petugas ga capek2 ngurusin warga yg bandel



#COVID19 #COVID19indonesia",negative
"Kalau yang memiliki power udah mengendalikan sistem, nahh yg dikendalikan bisa apa??

Apa Indonesia itu sudah bukan lagi negara republik yg bermusyawarah?
#COVID19 #COVID19indonesia 
#anticovid",neutral
"Hari ini, Rabu/ 23 September 2020, Penambahan kasus baru #COVID19indonesia mencapai 4.465 Kasus, #SayaSedangMembayangkanJikaPilkadaBerlangsung 14 hari kemudian jadi apa ya ? #iItuJikaVaksinBelumDiTemukan 
.
#COVID__19 
#COVID19 
#Covid_19",positive
"KEBIJAKAN SEKOLAH DI ZONA MERAH COVID 19

#COVID__19 #COVID19 #COVID19indonesia #sekolah #Jokowi #Coronavirusindonesia #ikatandokterindonesia #IDI #WHO",neutral
"Terjadi momok menakutkan di kalangan masyarakat untuk berobat, sehingga terjadi nya korban karena tidak ada nya rasa nyaman ketika berobat karena banyak hal yang di gaungkan di kalangan masyarakat untuk menjadi hal yg menakutkan
#COVID19 #COVID19indonesia",negative
"Sebener nya mah kalo menurut ku gampang loh pak 
@jokowi
 
@aniesbaswedan
 kalo mau PSBB kali ini berhasil total, caranya tinggal tutup aja SPBU selama 14 hari. Di jamin pasti dah pada Stay safe di rumah semua 
#PSBB #PSBBLagi #COVID19 #COVID19indonesia",positive
"Kebebasan berkumpul sekarang kembali terengut. Perekonomian semakin ancur.
#COVID19indonesia #COVID19 #covidout",neutral
"Hari ini suarakan lebih keras tentang #COVID19indonesia walau sedang rebahan sekalipun.

Biar yang disana dengar, karena selama ini kuping mereka ketutupan tembok kantor berlapis.

#COVID19 #Indonesia",neutral
"Arti PSBB bagi saya

*Mijet everday
*Nge kost ber 5
*Kemana mana pake sepeda fixie
*Perpanjang member starkling

#covid19 #COVID19indonesia",neutral
"Akhirnya setelah 75 tahun Merdeka, Ada juga negara yang takut sama Indonesia, udah gitu yang takut banyak lagi 59 negara, Luar biasa

#COVID19 
#COVID19Indonesia",negative
"Sebuah instansi bumn di kawasan jakarta pusat terdapat 3 karyawan terpapar covid 19. Sayangnya sepertinya tidak terdeteksi oleh pihak berwenang dan sampai sekarang tidak ada penutupan terhadap instansi tersebut

#CovidDKImeroketPicuResesi #COVID__19 #COVID19 #covid19indonesia",negative
"Dear covid-19 kapan sih ilangnya!!! Gila banget gara2 lu 2event besar yg gw tunggu2 bener2 keundur sampai tahun depan  
#COVID19 #COVID19indonesia",negative
"Kalau mmg covid19 itu tidak benar adanya, atau sengaja diinfeksikan kepada banyak orang untuk kepentingan bisnis, lalu mengapa negara2 banyak yang resesi, banyak tenaga medis yang mengeluh dan menderita setiap harinya.
#covid19 #IndonesiaSudahBangkrut #COVID19indonesia",positive
Kalau saja biaya #SWAB sama dengan tarif #RAPPID atau bahkan digratiskan  mungkin kasus #COVID19 di Indonesia gak akan sebnanyak sekarang. #hanyapendapat #Corona #coronaindonesia #COVID19indonesia,positive
"Kenapa sekarang sekolah belum dibuka, Apakah untuk dijadikan lahan bisnis vaksin nanti? #covid #COVID19 #COVID19indonesia #corona",neutral
"Beres #covid19 , ortu bisa ngambil sertifikasi gratis di dinas pendidikan setempat
#COVID19indonesia",positive
"PER SENIN, 27 JULI 2020 MASUK ANGKA SERATUS RIBU LEBIH YAA
#KuatKitaBersinar 

 #INDONESIA #COVID19 #COVID19indonesia",positive
"Rabu, 22 juli 
Sudah tidak adalagi pengumuman berita terkait penambahan pasien covid yang POSITIF SEMBUH MENINGGAL

#KitaKuat 
#KuatKitaBersinar
#StopBeritaKetakutan 

 #INDONESIA #COVID19 #COVID19indonesia",positive
"Jadi dikala pandemik gini dikala pemerintah sibuk sosialisasiin jaga jarak, lah kok ada loh BLU sebuah kementrian malah buat meeting di Bandung. Ampun deh
#COVID19 #covid19Indonesia",positive
"Kita yang di jagad Twitter ini pasti setuju, bahwa kita MUAK melihat tingkah orang-orang yang tidak percaya kalau #covid19 itu nyata, termasuk MUAK kepada mereka yang berdalih covid-19 adalah akal bisnis para tenaga kesehatan! #covid19Indonesia",negative
